bin,frequency_hz,power_linear,power_dbfs,classification,folded_harmonic_order,is_fundamental,is_largest_spur
16509,503814.697265625,4.312905439600552e-11,-105.25097910743482,noise,,0,0
16510,503845.21484375,1.5045612808738537e-39,-389.82457965815166,noise,,0,0
16511,503875.732421875,7.433036758453686e-12,-112.8870156657616,noise,,0,0
16512,503906.25,3.151788203374661e-37,-366.61310821395654,noise,,0,0
16513,503936.767578125,4.3529957404521407e-11,-105.21079604906231,noise,,0,0
16514,503967.28515625,1.3466901174060525e-39,-390.30600174000114,noise,,0,0
16515,503997.802734375,1.390367396456227e-10,-100.16738271895605,noise,,0,0
16516,504028.3203125,2.9431290830697904e-39,-386.91058536798755,noise,,0,0
16517,504058.837890625,1.0104662448601927e-10,-101.55346036827397,noise,,0,0
16518,504089.35546875,1.0438231847191141e-38,-381.41240908200496,noise,,0,0
16519,504119.873046875,6.086202630027732e-13,-123.75521439714853,noise,,0,0
16520,504150.390625,4.765302015279026e-39,-384.817774165332,noise,,0,0
16521,504180.908203125,2.1573131046675132e-12,-118.25954665475842,noise,,0,0
16522,504211.42578125,6.19510786235208e-40,-393.6781897486047,noise,,0,0
16523,504241.943359375,1.5794091444822785e-09,-89.61373198924768,noise,,0,0
16524,504272.4609375,8.647642186113902e-40,-392.2297013559819,noise,,0,0
16525,504302.978515625,1.2963700526852068e-11,-110.47138857209859,noise,,0,0
16526,504333.49609375,1.6241240188360208e-37,-369.4924865800042,noise,,0,0
16527,504364.013671875,1.7111003383141724e-11,-109.26592369931073,noise,,0,0
16528,504394.53125,4.176531685968063e-39,-385.39052066489234,noise,,0,0
16529,504425.048828125,6.410333060944883e-11,-103.52987252398594,noise,,0,0
16530,504455.56640625,4.0506014368624194e-39,-385.5234833466359,noise,,0,0
16531,504486.083984375,3.7161217495226847e-10,-95.89777912955111,noise,,0,0
16532,504516.6015625,3.482973599091559e-39,-386.1791766457011,noise,,0,0
16533,504547.119140625,1.013303445227021e-12,-121.54128327839403,noise,,0,0
16534,504577.63671875,6.768404520933057e-39,-383.2938154021185,noise,,0,0
16535,504608.154296875,5.3988706178211464e-11,-104.2756492722266,noise,,0,0
16536,504638.671875,2.7828116370868005e-39,-387.1538403628218,noise,,0,0
16537,504669.189453125,6.033859285748568e-08,-73.79272669217717,noise,,0,0
16538,504699.70703125,1.0334853521772254e-40,-401.45563521440033,noise,,0,0
16539,504730.224609375,4.968439435201937e-11,-104.63647846912073,noise,,0,0
16540,504760.7421875,5.3642737934525285e-39,-384.3035691088261,noise,,0,0
16541,504791.259765625,2.971191027039471e-11,-106.869372722589,noise,,0,0
16542,504821.77734375,3.674219673080049e-40,-395.9470272888585,noise,,0,0
