code,transition_dnl_lsb,ramp_hist_dnl_lsb,ramp_hist_inl_lsb,sine_count,sine_expected_count,sine_corrected_dnl_lsb,sine_residual_sigma,sine_valid_for_cdf_check
235,-6.661338147750939e-15,0.0,0.0,2411,2411.8476242085453,-0.00035144185728708255,-0.0173394581706102,True
236,-6.661338147750939e-15,0.0,0.0,2665,2664.9819043898606,6.79014371907094e-06,0.0003523261976352697,True
237,-6.661338147750939e-15,0.0,0.0,3024,3023.936400244187,2.1032107622387386e-05,0.0011632915193019123,True
238,2.6867397195928788e-14,0.0,0.0,3592,3591.7527458106633,6.883942376734176e-05,0.004154188939499523,True
239,-6.661338147750939e-15,0.0,0.0,4713,4713.052621648909,-1.1165088347864227e-05,-0.0007734867736135262,True
240,-6.661338147750939e-15,0.0,0.0,10780,10779.943367421452,5.2535135499631735e-06,0.0005570272852564205,True
241,-6.661338147750939e-15,0.0,0.0,0,0.0,,,False
242,-6.661338147750939e-15,0.0,0.0,0,0.0,,,False
243,2.6867397195928788e-14,0.0,0.0,0,0.0,,,False
244,-6.661338147750939e-15,0.0,0.0,0,0.0,,,False
245,-6.661338147750939e-15,0.0,0.0,0,0.0,,,False
246,-6.661338147750939e-15,0.0,0.0,0,0.0,,,False
247,-6.661338147750939e-15,0.0,0.0,0,0.0,,,False
248,2.6867397195928788e-14,0.0,0.0,0,0.0,,,False
249,-6.661338147750939e-15,0.0,0.0,0,0.0,,,False
250,-6.661338147750939e-15,0.0,0.0,0,0.0,,,False
251,-6.661338147750939e-15,0.0,0.0,0,0.0,,,False
252,-6.661338147750939e-15,0.0,0.0,0,0.0,,,False
253,2.6867397195928788e-14,0.0,0.0,0,0.0,,,False
254,-6.661338147750939e-15,0.0,0.0,0,0.0,,,False
255,-6.661338147750939e-15,0.0,0.0,0,0.0,,,False
