bin,frequency_hz,power_linear,power_dbfs,classification,folded_harmonic_order,is_fundamental,is_largest_spur
20094,613220.21484375,3.3131189546287464e-39,-386.396308179684,noise,,0,0
20095,613250.732421875,9.56880443070188e-12,-111.79010168624498,noise,,0,0
20096,613281.25,1.1053588177050211e-39,-391.1636456703193,noise,,0,0
20097,613311.767578125,5.100987477995071e-11,-104.52213589674754,noise,,0,0
20098,613342.28515625,6.464572565384334e-39,-383.4932803228169,noise,,0,0
20099,613372.802734375,1.3978453978668095e-11,-110.14408706130835,noise,,0,0
20100,613403.3203125,2.6842181148777727e-38,-377.31050044150345,noise,,0,0
20101,613433.837890625,1.0716078851673817e-11,-111.29831946493758,noise,,0,0
20102,613464.35546875,6.882788489807469e-39,-383.2210342333585,noise,,0,0
20103,613494.873046875,6.141277956811582e-11,-103.71609092915475,noise,,0,0
20104,613525.390625,1.4104570849844988e-38,-380.1050797038208,noise,,0,0
20105,613555.908203125,3.8295732674962653e-11,-105.76717464219725,noise,,0,0
20106,613586.42578125,1.23078752304031e-39,-390.6968476210262,noise,,0,0
20107,613616.943359375,9.783589749671162e-11,-101.69369613733748,noise,,0,0
20108,613647.4609375,2.9092321014630035e-39,-386.9608947601273,noise,,0,0
20109,613677.978515625,5.997746398342708e-11,-103.81879748478127,noise,,0,0
20110,613708.49609375,5.490215453205854e-40,-394.20278459235846,noise,,0,0
20111,613739.013671875,1.1164216923737036e-11,-111.1203958073542,noise,,0,0
20112,613769.53125,2.7860388237627556e-39,-387.14880683020255,noise,,0,0
20113,613800.048828125,2.399961675590116e-11,-107.79663540469555,noise,,0,0
20114,613830.56640625,2.4019934904600473e-39,-387.7929602098701,noise,,0,0
20115,613861.083984375,1.9049566108839553e-10,-98.79982758875298,noise,,0,0
20116,613891.6015625,2.7117542912084404e-39,-387.26617511015024,noise,,0,0
20117,613922.119140625,1.1132331832830969e-10,-101.13281703776634,noise,,0,0
20118,613952.63671875,4.801021139278379e-40,-394.7853422888601,noise,,0,0
20119,613983.154296875,4.545412760472363e-12,-115.02294520270304,noise,,0,0
20120,614013.671875,1.3844119009802847e-39,-390.186025230785,noise,,0,0
20121,614044.189453125,1.9907153147383977e-10,-98.60858689565526,noise,,0,0
20122,614074.70703125,5.186340008013487e-40,-394.45006862086217,noise,,0,0
20123,614105.224609375,5.740591505591061e-12,-114.00911203060618,noise,,0,0
20124,614135.7421875,4.785316880856197e-40,-394.799571453035,noise,,0,0
20125,614166.259765625,8.980130243857782e-10,-92.06585211563508,noise,,0,0
20126,614196.77734375,1.4849269606452677e-39,-389.8816275463047,noise,,0,0
20127,614227.294921875,3.716445728346743e-10,-95.8974005195592,noise,,0,0
20128,614257.8125,2.005381289941775e-39,-388.5767088840348,noise,,0,0
20129,614288.330078125,6.8012992487286925e-12,-113.27275963407618,noise,,0,0
20130,614318.84765625,4.076376383645819e-40,-395.49593570238596,noise,,0,0
20131,614349.365234375,6.050563024544123e-10,-93.78072058047417,noise,,0,0
20132,614379.8828125,1.862185781292719e-39,-388.89844840820274,noise,,0,0
20133,614410.400390625,6.801169645444897e-12,-113.27284239256868,noise,,0,0
20134,614440.91796875,4.388280853624332e-40,-395.17573432092354,noise,,0,0
20135,614471.435546875,2.9146281535685363e-09,-86.95284691481004,noise,,0,0
20136,614501.953125,1.6758771569274842e-39,-389.3562566574806,noise,,0,0
20137,614532.470703125,4.679265086416431e-09,-84.89690197859605,noise,,0,0
20138,614562.98828125,3.331274554434049e-41,-406.3725741957643,noise,,0,0
20139,614593.505859375,1.5940488198247978e-08,-79.57366228993676,noise,,0,0
20140,614624.0234375,1.840633611604972e-39,-388.9490049872655,noise,,0,0
20141,614654.541015625,1.372809294453038e-10,-100.22257636235369,noise,,0,0
20142,614685.05859375,1.889876664468543e-40,-398.8343438455346,noise,,0,0
20143,614715.576171875,2.9156618030546423e-09,-86.95130699732366,noise,,0,0
20144,614746.09375,5.277654772258414e-40,-394.37426868826344,noise,,0,0
20145,614776.611328125,9.726614493903366e-09,-81.7190614376857,noise,,0,0
20146,614807.12890625,1.1409741654812835e-39,-391.0259203608008,noise,,0,0
20147,614837.646484375,1.3275167134604741e-11,-110.36827849528918,noise,,0,0
20148,614868.1640625,5.119256681085034e-41,-404.5066094133914,noise,,0,0
20149,614898.681640625,1.9792220362813e-09,-88.63373329428534,noise,,0,0
20150,614929.19921875,4.844328790894792e-40,-394.7463423548996,noise,,0,0
20151,614959.716796875,5.418769563567501e-10,-94.25967164321357,noise,,0,0
20152,614990.234375,1.4272057580922204e-39,-390.0538125788659,noise,,0,0
20153,615020.751953125,4.6236486287163766e-10,-94.9488302436343,noise,,0,0
20154,615051.26953125,7.131144206224025e-40,-393.0670862823916,noise,,0,0
20155,615081.787109375,2.1561774795426223e-10,-98.26183341406399,noise,,0,0
20156,615112.3046875,1.925300530378447e-39,-388.75369316625813,noise,,0,0
20157,615142.822265625,2.398576518297339e-10,-97.79914269404586,noise,,0,0
20158,615173.33984375,6.093614105364189e-40,-393.74992899210736,noise,,0,0
